Skill,Occurrences,Example
channel,2,
chat,2,
chi,1,
choice,1,
churn,1,
ci,10,
ciklum,1,
cinector,2,
circleci,1,
cisco,1,
cit,1,
civil,1,
cka,1,
clara,1,
class,1,
classic,1,
classiﬁcation,1,
claus,4,
clean,4,
cleaned,1,
clear,2,
cli,1,
click,1,
clickhouse,1,
client,6,
clients,5,
closely,2,
cloud,11,
cloudflare,1,
cloudformation,2,
cluster,7,
clustering,2,
clusters,1,
cms,2,
cnc,2,
cng,1,
co,2,
code,11,
codebase,1,
codeigniter,2,
codes,1,
coding,1,
coin,2,
coinnewsmarket,1,
collaborate,2,
collaborated,5,
collaboration,4,
collaborative,1,
collaborator,2,
collection,1,
collections,1,
color,1,
columbia,1,
com,36,
combination,1,
combines,1,
combining,1,
comfortable,1,
command,6,
commer,1,
commerce,4,
commitment,1,
committed,2,
communication,10,
community,1,
companies,2,
company,24,
compared,1,
compatibility,1,
competitive,2,
complet,1,
complete,3,
completed,12,
completing,1,
completion,1,
complex,6,
complexity,1,
compliance,1,
components,1,
composer,1,
comprehend,1,
comprehensive,4,
computer,11,
concept,2,
concepts,4,
conceptualize,1,
conceptualized,3,
conduct,1,
conducted,9,
confidential,1,
confidentiality,2,
configurable,1,
configuration,2,
configure,1,
configured,7,
confluence,3,
connection,1,
conscientious,1,
considerable,1,
consistent,2,
consolidated,1,
consolidation,1,
construction,1,
consul,1,
consultant,6,
consulted,2,
consumer,1,
consuming,1,
contact,3,
container,1,
containerization,1,
contest,4,
continue,1,
continued,1,
continuous,4,
contributed,3,
control,6,
conversation,1,
converting,1,
conﬁgurated,1,
coo,2,
cooperation,1,
cooperative,1,
core,9,
coreldraw,1,
corp,1,
corporation,1,
corresponded,1,
cost,3,
costs,2,
could,2,
countries,1,
coupon,1,
cource,1,
course,6,
courses,5,
courteous,1,
coverage,1,
coveraged,1,
coworkers,1,
cpanel,1,
create,5,
created,14,
creating,9,
creation,1,
creative,1,
creativity,1,
credit,1,
critical,2,
crm,1,
cross,4,
crucial,1,
cryptocurrency,1,
css,9,
cucumber,6,
culture,1,
cumulative,1,
current,3,
currently,3,
curricular,1,
cust,1,
custom,3,
customer,12,
customers,11,
customized,1,
cyberchain,1,
cycle,3,
cydeo,3,
cypress,6,
da,2,
daily,1,
dashboard,2,
dashboards,3,
data,34,
databa,1,
database,11,
databases,2,
datacenter,2,
datasets,2,
date,6,
dates,3,
davis,1,
days,1,
db,2,
dcube,1,
ddd,2,
ddt,1,
de,6,
deadlines,3,
deal,1,
debian,2,
debugging,2,
dec,11,
december,2,
decentralized,1,
decision,2,
decisions,1,
decoupling,2,
decrease,1,
decreased,1,
dedicated,1,
deep,5,
deeplearning,1,
default,1,
defect,1,
defense,2,
degree,9,
delacruztorres,1,
deliv,2,
delive,1,
deliver,4,
delivered,1,
delivering,4,
delivery,2,
demonstrated,1,
demonstrating,1,
dentists,1,
department,1,
deployed,1,
deploying,1,
deployment,13,
deployments,2,
depth,1,
description,1,
design,17,
designed,12,
designer,2,
designers,1,
designing,5,
desires,2,
desktop,4,
detail,1,
detailed,1,
details,4,
dev,2,
develop,9,
developed,22,
developer,41,
developerapr,1,
developers,7,
developing,15,
development,30,
devexpress,1,
devextrem,1,
devops,16,
deﬁning,1,
dgpays,2,
dhcp,1,
dhiman,2,
didn,1,
different,7,
difficult,1,
digital,3,
digitalocean,1,
diligently,1,
dimensional,1,
diploma,1,
direct,4,
director,1,
directory,1,
disaster,2,
discovered,1,
discretion,1,
discussed,1,
dist,1,
distribution,1,
distributions,2,
diyarbakır,2,
diﬀerent,2,
django,1,
dna,1,
dns,2,
do,1,
docker,14,
document,3,
documented,1,
documents,1,
docx,1,
domino,2,
dominos,2,
doors,1,
down,1,
dozen,1,
dream,1,
drive,2,
driven,5,
dsl,1,
duration,1,
during,2,
duty,2,
dynamic,2,
dynamics,1,
ea,1,
each,1,
easy,1,
ec,1,
ec2,1,
echnologies,2,
econom,2,
ecosystem,1,
ecuador,1,
ed,1,
editing,2,
education,15,
educational,1,
educations,1,
eed,1,
ef,1,
effective,7,
effectively,3,
effectiveness,2,
efficiency,1,
efficient,6,
eghamat24,1,
eidco,1,
eilsen,2,
eimar,2,
eks,1,
elastic,1,
elasticsearch,4,
elected,1,
electric,3,
electrical,2,
electron,1,
electronic,6,
electronics,6,
element,1,
elementor,2,
elk,4,
email,4,
embedded,4,
empathy,1,
emphasis,2,
employee,1,
employees,1,
employment,1,
enabling,3,
encompassing,3,
end,8,
engaging,1,
engeener,1,
engineer,26,
engineered,1,
engineering,13,
engineers,7,
english,8,
enhance,2,
enhanced,2,
enhancement,1,
enhancing,2,
enola,1,
ensure,4,
ensuring,3,
entertainment,1,
enthusiasm,1,
enthusiast,1,
entire,1,
entrepreneur,1,
environment,6,
environments,2,
envisioned,1,
epam,2,
equipment,1,
equipped,1,
eqvanta,1,
erc20,2,
erdinc,5,
erdinckaraman,2,
eries,2,
erp,2,
ers,1,
ertise,1,
esigning,1,
eskişehir,2,
eslint,1,
espol,1,
establish,4,
established,3,
establishing,1,
estate,1,
estácio,1,
esxi,3,
etailers,1,
etc,4,
ethereum,1,
evaluate,1,
evaluated,1,
evaluation,1,
even,1,
every,3,
everyone,1,
exactly,1,
exceeding,1,
excellent,8,
exception,1,
exceptional,1,
exchange,1,
execute,4,
executed,4,
executing,3,
execution,2,
executive,1,
exercise,1,
exercises,1,
exhibit,1,
existing,2,
exp,1,
expanded,2,
experienc,1,
experience,56,
experienced,8,
experiences,3,
expert,1,
expertise,2,
expirences,4,
exploratory,1,
explored,1,
explorer,1,
exploring,1,
exposure,1,
express,2,
ext,1,
extend,1,
extending,1,
extensive,1,
extensively,1,
external,3,
extracted,3,
eﬀective,1,
face,1,
facilitate,1,
facilitating,1,
facilities,1,
faculty,1,
fairs,2,
familiar,2,
familiarity,2,
familiarized,1,
fashion,2,
faster,2,
fatih,2,
fault,1,
feature,2,
features,4,
feb,10,
federal,1,
federation,1,
feedback,2,
feeds,1,
feel,1,
ferhat,2,
fhkaraman,2,
field,2,
fields,2,
filters,1,
finances,1,
financial,4,
find,1,
finished,3,
finland,2,
firebase,1,
firewalls,1,
first,4,
five,2,
fix,1,
fixing,1,
fkara,2,
flexible,1,
flow,1,
fluent,1,
focus,1,
focused,3,
for,99,
force,6,
forces,1,
forecast,3,
forecasting,1,
forghani,1,
formation,1,
forms,1,
formulated,1,
fortigate,1,
forward,1,
foster,2,
foundational,1,
founded,1,
founder,1,
four,2,
framework,20,
frameworks,5,
francisco,2,
freelance,3,
friendly,1,
from,18,
front,2,
frontend,3,
fsue,1,
ftp,2,
full,10,
fully,1,
functional,11,
functionality,4,
functions,2,
funding,2,
further,3,
gained,1,
game,8,
games,6,
gaps,1,
gathering,1,
gauge,1,
gaziosman,1,
gcp,2,
generate,1,
generated,3,
german,5,
germany,14,
get,1,
gherkin,2,
ghesarha,1,
gia,1,
giagames,1,
git,17,
github,17,
gitlab,7,
give,2,
glass,2,
glazing,2,
globally,1,
gmail,12,
gmbh,5,
gmbhmittweida,2,
gmbhvienna,2,
go,1,
goal,1,
goals,2,
golang,7,
good,3,
google,2,
googleplay,2,
gostar,1,
gov,5,
government,2,
gp,2,
gpd,2,
grade,3,
gradle,2,
graduate,3,
graduating,2,
grafana,1,
grant,2,
granularity,1,
graylog,2,
grid,2,
groovy,1,
gross,1,
group,3,
growth,1,
guayaquil,1,
gui,2,
guidance,2,
gurobi,1,
gutenberg,1,
gwt,4,
ha,1,
had,5,
hamburg,2,
hamilton,1,
hamm,1,
handheld,1,
handled,2,
handling,2,
hands,2,
hangfire,1,
hardware,4,
has,5,
hashicorp,1,
hat,1,
hatratech,2,
have,13,
hayalpc,1,
headless,2,
health,1,
heavy,2,
hedayat,1,
height,1,
held,2,
helicopter,1,
hello,2,
helped,4,
helping,1,
here,2,
hetzner,1,
hibernate,4,
high,7,
highest,1,
highlights,2,
highly,4,
himalaya,1,
hincebio,1,
hired,1,
historical,1,
history,2,
hobbies,1,
holder,1,
holt,2,
hooks,1,
horshid,3,
hospital,4,
hospitality,1,
hospitals,1,
hotel,3,
hoteliers,1,
hours,2,
house,3,
hovita,3,
hr,4,
html,11,
http,2,
https,11,
hub,4,
human,1,
hundreds,3,
hybrid,2,
hyper,2,
hypotheses,1,
i2c,2,
icefaces,1,
ics,2,
ict,1,
id,4,
idea,1,
ideas,1,
identif,1,
identified,1,
identify,4,
identifying,3,
ids,1,
ied,1,
if,1,
iff,2,
ii,1,
iii,1,
iis,1,
ility,1,
implement,5,
implementation,11,
implemented,18,
implementing,7,
improve,3,
improved,7,
improvement,2,
improvements,1,
improving,4,
in,163,
inc,2,
included,1,
including,15,
income,1,
incoming,1,
incorporating,1,
increase,3,
increased,2,
increasing,3,
independently,3,
india,2,
individual,2,
individually,2,
industrial,2,
industrie,1,
industries,1,
industry,6,
inf,1,
info,1,
inform,1,
informatics,1,
information,19,
informations,1,
informed,1,
infosec,1,
infoservice,1,
infrastructure,10,
infrastructures,2,
ing,1,
initiative,2,
initiatives,1,
innovation,6,
innovations,1,
innovative,2,
inside,2,
insights,3,
install,1,
installed,7,
installer,1,
institute,4,
institution,2,
instruction,1,
integrated,1,
integration,7,
integrations,2,
intelligence,2,
intellij,3,
interactions,1,
interactive,1,
interfaces,3,
intermediary,1,
intermediate,10,
intern,1,
internal,7,
international,10,
internet,2,
interpersonal,2,
into,8,
intuitions,1,
invaluable,1,
investment,1,
involved,5,
inﬂuence,1,
ion,1,
iops,1,
iot,2,
iple,1,
iptables,1,
ir,5,
iran,5,
irancell,1,
irangov,1,
iranman,1,
is,9,
islamic,1,
isp,5,
issue,1,
issues,10,
istanbul,12,
it,21,
ita942,1,
itil,1,
iv,1,
izlogy,1,
izmir,1,
jahangostar,2,
jam,2,
jan,11,
janeiro,1,
jankins,1,
january,4,
jasmine,1,
jasperreport,1,
java,31,
javascript,14,
jdbc,6,
je,1,
jenkins,14,
jfrog,1,
jira,14,
jmeter,3,
job,2,
jobs,1,
join,1,
joule,2,
journey,3,
jquery,3,
js,7,
jsf,4,
json,5,
jsp,1,
judgment,1,
judgments,1,
jun,7,
junior,6,
junit,5,
jury,2,
just,1,
k8s,1,
kafka,2,
kai,3,
kamloops,1,
kanban,1,
karaj,3,
karaman,7,
kaya,1,
keen,1,
kept,2,
keras,1,
key,6,
keycloak,1,
kg,1,
kgbielefeld,2,
kgtu,3,
know,4,
knowledge,14,
kocaeli,1,
kolektif,1,
konya,4,
korea,1,
kotlin,2,
kpi,2,
kpis,3,
kubeadm,1,
kubernates,1,
kubernetes,12,
kup,1,
kuwait,1,
kyc,1,
kyiv,1,
la,1,
labor,2,
lamp,1,
lan,7,
language,7,
languages,11,
lar,2,
laravel,3,
large,1,
lassi,1,
last,1,
later,1,
latest,2,
launch,4,
launched,2,
lawyers,1,
layouts,2,
lead,18,
leader,1,
leadership,3,
leading,2,
leaks,1,
learn,5,
learned,4,
learner,1,
learning,17,
lecturer,1,
led,7,
legacy,4,
legal,1,
less,2,
letter,1,
leuphana,4,
level,5,
levels,2,
leveraging,1,
libraries,4,
library,8,
life,2,
ligabet,1,
ligastovak,1,
light,1,
lightglass,4,
lighthouse,1,
like,11,
linkedi,1,
linkedin,7,
links,2,
linux,10,
list,1,
listening,1,
live,3,
llc,1,
load,2,
localization,1,
locaper,1,
log,1,
logos,1,
loki,2,
londrina,2,
long,3,
longhorn,1,
loss,1,
loyalty,1,
lpic1,1,
lpic2,1,
ls,1,
ltd,1,
ly,4,
lüneburg,5,
machine,8,
machines,1,
made,3,
magister,1,
maintain,4,
maintained,7,
maintaining,4,
maintenance,5,
major,3,
make,3,
maker,1,
making,1,
manage,4,
managed,9,
management,20,
manager,17,
managers,3,
managing,4,
mango,1,
manipulation,1,
manner,3,
manual,9,
manufacturers,2,
many,6,
mar,2,
march,2,
margin,1,
marked,1,
market,1,
marketing,7,
markets,1,
marking,2,
marmara,2,
mashhad,2,
masstransit,2,
master,2,
mathematics,1,
matplotlib,2,
mattermost,1,
maven,12,
maximize,1,
maximum,1,
may,4,
mci,1,
mcihub,1,
mcitp,1,
me,4,
measured,1,
measurement,1,
media,2,
medicine,1,
medium,1,
meeting,1,
meetings,1,
mehr,2,
mehrshar,1,
member,1,
members,4,
memory,1,
ment,1,
mentioned,1,
mentored,4,
mentoring,2,
mergentheim,1,
messages,1,
meter,1,
method,2,
methodical,1,
methodologies,4,
methodology,3,
methods,1,
metrics,2,
micro,4,
microservice,8,
microservices,9,
microsoft,5,
mid,1,
middle,1,
might,1,
migrated,1,
migrating,1,
migration,1,
migrations,1,
mile,2,
million,1,
minden,3,
mindset,1,
minijoule,2,
minimal,1,
mining,1,
minio,1,
minister,1,
ministry,3,
minor,1,
missing,2,
mission,3,
mitigating,1,
mittweida,2,
mobildev,2,
mobile,12,
mocha,1,
model,8,
modeling,2,
models,10,
moderate,2,
modify,1,
modules,1,
mohali,1,
mongo,2,
mongodb,9,
monitor,1,
monitored,2,
monitoring,2,
monolith,2,
monolithic,1,
monthly,1,
months,4,
more,6,
moscow,1,
most,3,
motivated,2,
motkonsis,1,
moving,1,
mpls,1,
mrelectronst,2,
ms,3,
mssql,4,
mult,1,
multi,3,
multiplayer,1,
multiple,7,
music,1,
must,4,
mvc,6,
my,16,
myiran,2,
myself,2,
mysql,19,
münster,2,
najaf,1,
named,1,
namespaces,1,
narios,1,
nat,1,
national,6,
native,6,
natural,1,
natured,1,
naval,1,
navigated,1,
necessary,1,
need,3,
needed,2,
needs,1,
net,24,
netbina,1,
netcore,2,
network,15,
networking,1,
networks,7,
new,12,
newly,1,
news,2,
next,1,
nfs,1,
nginx,1,
nhibernate,2,
nirogah,1,
nkins,1,
nltk,1,
no,1,
node,2,
nodejs,3,
non,5,
noseswap,1,
nosql,4,
not,3,
nour,1,
nov,2,
now,3,
npm,1,
ntp,1,
numerous,1,
numpy,2,
oauth2,1,
oberta,1,
object,4,
objective,1,
obtain,1,
obtained,3,
ocelot,2,
oct,10,
of,147,
off,1,
offered,5,
offers,1,
office,2,
officer,4,
offshore,1,
olby,1,
ols,1,
olutions,1,
ombudsman,1,
omer,1,
omid,1,
on,41,
onboarding,1,
one,4,
ongoing,2,
online,3,
onshore,1,
oop,2,
open,3,
opening,1,
openkm,1,
openldap,1,
openvista,1,
operate,1,
operating,6,
operation,1,
operational,3,
operationalized,1,
operations,4,
operators,1,
opportunity,2,
optimal,1,
optimization,3,
optimized,3,
or,3,
oracle,5,
orchestrate,1,
orchestration,1,
orders,2,
ordpress,1,
organization,4,
organizational,2,
organizations,1,
organize,4,
organized,4,
oriented,2,
ork,2,
orked,2,
ormation,1,
orts,1,
os,1,
oscar,1,
oscaralejandro,1,
ospf,1,
osram,2,
other,7,
others,2,
our,13,
out,4,
outcomes,2,
outlook,2,
outputs,1,
over,6,
overall,2,
oversaw,1,
overview,1,
own,2,
owner,2,
oxford,1,
oy,2,
paack,2,
package,1,
page,6,
pages,1,
pair,2,
palettes,1,
palo,1,
panasyuk,1,
pandas,2,
pao,1,
paper,2,
par,2,
para,1,
parameters,2,
paramount,1,
paraná,2,
pardisan,1,
parent,2,
pars,1,
parsain,1,
parsgate,1,
parssign,1,
part,9,
participated,1,
participation,2,
partner,1,
partners,2,
parts,3,
pasha,1,
passau,2,
passion,1,
passionate,1,
past,1,
patents,1,
patient,1,
patients,1,
patterns,4,
payam,1,
payguru,1,
payment,5,
pdf,1,
pentling,2,
pentlinger,2,
people,1,
per,3,
perfect,1,
performance,11,
performances,2,
performed,6,
performing,1,
persian,3,
persianjs,1,
persistent,1,
personal,4,
pet,3,
pets,1,
pfsense,1,
ph,2,
phalcon,1,
phase,1,
phases,1,
phone,1,
photoshop,1,
php,12,
phpcs,1,
phpmyadmin,1,
physics,1,
pick,1,
pioneer,1,
pipeline,3,
pitch,4,
pixel,1,
pki,3,
place,6,
plan,6,
planning,3,
plant,1,
plastics,2,
platform,8,
platforms,1,
play,2,
player,1,
playn,1,
playtech,1,
plugin,3,
plugins,4,
podcasts,1,
poems,1,
poi,1,
point,3,
policy,1,
polytechnic,1,
pom,2,
portal,1,
portuguese,1,
pos,2,
position,2,
positioning,1,
positive,4,
postgraduate,1,
postgre,1,
postgres,1,
postgresql,6,
postman,11,
posts,1,
potential,1,
power,2,
pr,1,
practical,2,
practices,2,
practitioner,2,
prediction,2,
predictive,1,
preparation,1,
prepared,2,
preparing,1,
preprocessors,1,
presence,1,
present,13,
preserve,1,
pressure,1,
price,2,
prime,2,
prince,2,
prince33dhiman,1,
printer,2,
prioritize,2,
proactively,1,
problem,6,
problems,5,
procedures,2,
process,11,
processes,7,
processing,2,
prod,1,
producing,2,
product,13,
production,2,
productive,1,
productivit,1,
productivity,3,
products,12,
professional,14,
proficiencies,1,
proficiency,1,
proficient,2,
proficiently,1,
profile,2,
profilesoftware,1,
profit,2,
profitability,1,
profitsword,2,
program,1,
programmers,2,
programming,11,
projec,1,
project,25,
projects,40,
prometheus,4,
prominent,1,
promo,1,
promoted,1,
promoting,1,
proposal,2,
protection,1,
protocolist,1,
prove,1,
provectus,1,
proven,5,
provide,3,
provided,4,
providers,2,
provides,1,
providing,4,
provisioning,1,
proﬁciency,2,
proﬁcient,1,
psr,1,
public,5,
published,1,
pulp,2,
punjab,1,
puppet,1,
push,1,
pvt,1,
pyomo,2,
pyspark,1,
python,12,
qa,11,
quality,6,
quartz,1,
queries,2,
quick,3,
quickly,2,
quotes,1,
rabbitmq,6,
radar,10,
radioelectronics,1,
rail,2,
rained,2,
rancher,1,
rancheros,1,
range,1,
ransformed,2,
rapid,2,
ras,2,
rational,1,
ray,2,
rayaneh,3,
rdbms,1,
re,2,
react,3,
reactjs,1,
read,1,
reading,1,
real,1,
realizing,1,
realm,1,
reasons,1,
receive,1,
received,2,
recommendations,2,
recommended,1,
record,2,
records,1,
recovery,2,
recreated,1,
red,1,
redeems,1,
redhat,1,
redis,9,
reduce,2,
reduced,1,
reducing,1,
reduction,1,
reductions,1,
references,3,
regensburg,2,
registration,1,
regression,6,
regular,1,
related,2,
relational,1,
relations,4,
relationships,4,
release,4,
released,1,
releases,1,
relevant,1,
reliability,1,
reliable,2,
relied,1,
remarkable,1,
remodeled,1,
remote,4,
rep,1,
replaceable,1,
report,2,
reporting,1,
reports,5,
repositories,2,
representatives,2,
request,2,
requests,3,
required,1,
requirement,1,
requirements,4,
requires,1,
research,2,
reservation,1,
resolution,2,
resolutions,1,
resolve,2,
resolved,1,
resolving,3,
resourceful,1,
resources,3,
response,1,
responsibilities,2,
responsible,8,
responsive,1,
rest,8,
restassured,3,
restful,1,
result,1,
resulting,4,
results,1,
resume,1,
retailers,2,
rethinkdb,1,
revenues,1,
review,3,
reward,1,
rg,1,
rich,1,
rict,1,
rifd,1,
right,1,
rio,1,
ripv2,1,
risk,2,
risks,1,
rivers,1,
rj,1,
robust,1,
robustness,1,
role,5,
rostechnadzor,1,
router,2,
routines,1,
routing,2,
rp,1,
rpa,1,
rt,1,
rtls,1,
run,1,
runner,1,
ruz,1,
rv,1,
ry,3,
ryptocurrency,1,
saas,2,
sales,6,
same,1,
samin,3,
san,2,
santa,1,
sarah,1,
sarahcosiqueira,1,
sarahcssiqueira,3,
sarahjobs,1,
sarimax,2,
sass,1,
satisfaction,1,
satisfied,1,
sayadarbabi,3,
scalable,4,
scale,1,
scaling,6,
sce,1,
scenarios,2,
scheduled,2,
schema,1,
school,10,
schüco,2,
science,1,
sciences,2,
scientist,4,
scikit,2,
scip,1,
scipy,2,
scooter,4,
score,1,
scrapping,1,
scratch,1,
screen,1,
screwfix,1,
script,1,
scripts,4,
scrum,10,
sdet,5,
sdlc,3,
seaborn,2,
seamless,1,
search,3,
season,1,
seasonal,2,
seconds,2,
secrets,1,
sector,2,
secure,2,
security,17,
see,1,
seed,1,
seeking,3,
select,1,
selenium,13,
self,5,
selçuk,2,
semesters,1,
sending,2,
senior,12,
sensitive,1,
seo,1,
sep,12,
sep2004,1,
september,15,
series,1,
served,2,
server,13,
serverless,2,
servers,6,
service,16,
services,13,
ses,1,
sessions,2,
set,3,
setting,1,
setup,1,
several,2,
shabakeh,1,
shared,1,
sharif,1,
sharing,3,
sharq,1,
sherlock,1,
shop,2,
shortener,1,
should,2,
shrif,1,
shrug,1,
side,1,
sign,1,
signalr,1,
significant,1,
signiﬁcant,1,
simple,1,
simulation,1,
simultaneous,1,
simultaneously,1,
since,2,
sing,1,
single,1,
siqueira,1,
siqueoli,1,
six,1,
skill,2,
skilled,2,
skills,25,
skillsexperience,1,
skooners,1,
skype,1,
slack,1,
slots,1,
small,1,
smart,5,
smartbear,2,
smoke,4,
smooth,1,
sms,1,
snmp,1,
soap,2,
social,3,
soft,2,
software,45,
solar,2,
solid,3,
solution,2,
solutions,18,
solve,4,
solver,1,
solving,3,
some,6,
source,2,
south,1,
sp,1,
space,1,
spacy,1,
spanish,2,
spare,2,
speaker,1,
specialist,4,
specialization,1,
specializing,1,
specific,1,
specifications,1,
spi,2,
spring,5,
sprinterra,1,
sql,23,
square,1,
sr,6,
sres,2,
stability,2,
stack,10,
stages,3,
stakeholders,2,
stamp,1,
stanbul,6,
stanford,3,
star,2,
stare,1,
start,2,
started,3,
starter,1,
startups,2,
state,6,
statement,1,
statements,1,
static,1,
statistical,1,
statistics,2,
statsmodels,2,
status,1,
staying,1,
steinau,4,
step,1,
stlc,3,
storage,1,
store,5,
stories,3,
str,2,
strategic,1,
strategies,3,
strategy,3,
streamlined,2,
streamlit,2,
street,1,
strengths,1,
string,1,
stringent,1,
strong,7,
structures,1,
student,1,
students,2,
studies,1,
studio,2,
study,4,
stylelint,1,
subscription,1,
subsidiary,2,
subsystem,2,
success,2,
successfu,1,
successful,4,
successfully,9,
such,11,
suggestions,1,
suite,4,
summary,3,
supervised,1,
support,18,
supporting,3,
svn,2,
swarm,1,
swimming,1,
syslog,1,
system,15,
systems,43,
systemyar,2,
sá,1,
tab,2,
tableau,5,
tags,2,
tailor,1,
tailored,1,
take,1,
taking,1,
target,2,
tasks,6,
tdd,1,
tea,2,
teach,1,
teacher,1,
team,44,
teamcity,1,
teams,5,
tech,2,
technical,32,
technician,2,
techniques,1,
techno,1,
technologies,5,
technology,10,
tecnologico,1,
ted,2,
tehran,9,
tensorflow,1,
term,1,
terms,1,
terraform,2,
test,40,
testability,1,
tested,1,
testing,39,
testinium,1,
testng,7,
testrail,2,
